EirCode_RoutingKey;Descriptor;County
Y14;ARKLOW;Wicklow
A84;ASHBOURNE;Meath
H65;ATHENRY;Galway
N37;ATHLONE;Westmeath;Roscommon
R14;ATHY;Kildare
K32;BALBRIGGAN;Dublin
F26;BALLINA;Tipperary
H53;BALLINASLOE;Galway;Roscommon
P31;BALLINCOLLIG;Cork
F31;BALLINROBE;Mayo
A41;BALLYBOUGHAL;Dublin
F35;BALLYHAUNIS;Mayo
F56;BALLYMOTE;Sligo
P72;BANDON;Cork
P75;BANTRY;Cork
H14;BELTURBET;Cavan
R42;BIRR;Offaly;Tipperary
A94;BLACKROCK;Dublin
F52;BOYLE;Roscommon
A98;BRAY;Wicklow;Dublin
V23;CAHERCIVEEN;Kerry
E21;CAHIR;Tipperary
R93;CARLOW;Carlow;Laois
A81;CARRICKMACROSS;Monaghan
N41;CARRICK-ON-SHANNON;Leitrim
E32;CARRICK-ON-SUIR;Tipperary
P43;CARRIGALINE;Cork
E25;CASHEL;Tipperary
F23;CASTLEBAR;Mayo
A75;CASTLEBLAYNEY;Monaghan
F45;CASTLEREA;Roscommon
H12;CAVAN;Cavan
P56;CHARLEVILLE;Cork;Limerick
F12;CLAREMORRIS;Mayo
H71;CLIFDEN;Galway
P85;CLONAKILTY;Cork
H23;CLONES;Monaghan
E91;CLONMEL;Tipperary;Waterford
P24;COBH;Cork
H16;COOTEHILL;Cavan
T12;CORK - BALLINHASSIG;Cork
T23;CORK - BLARNEY;Cork
P14;CORK - CROOKSTOWN;Cork
P32;CORK - DONOUGHMORE;Cork
P47;CORK - DUNMANWAY;Cork
T56;CORK - WATERGRASSHILL;Cork
T34;CORK - WHITECHURCH;Cork
R56;CURRAGH CAMP;Kildare
F94;DONEGAL;Donegal
A92;DROGHEDA;Louth;Meath
D01;DUBLIN 1;Dublin
D02;DUBLIN 2;Dublin
D03;DUBLIN 3;Dublin
D04;DUBLIN 4;Dublin
D05;DUBLIN 5;Dublin
D06;DUBLIN 6;Dublin
D6W;DUBLIN 6W;Dublin
D07;DUBLIN 7;Dublin
D08;DUBLIN 8;Dublin
D09;DUBLIN 9;Dublin
D10;DUBLIN 10;Dublin
D11;DUBLIN 11;Dublin
D12;DUBLIN 12;Dublin
D13;DUBLIN 13;Dublin
D14;DUBLIN 14;Dublin
D15;DUBLIN 15;Dublin
D16;DUBLIN 16;Dublin
D17;DUBLIN 17;Dublin
D18;DUBLIN 18;Dublin
D20;DUBLIN 20;Dublin
D22;DUBLIN 22;Dublin
D24;DUBLIN 24;Dublin
A86;DUNBOYNE;Meath
A91;DUNDALK;Louth
X35;DUNGARVAN;Waterford
A85;DUNSHAUGHLIN;Meath
R45;EDENDERRY;Offaly
A83;ENFIELD;Meath
V95;ENNIS;Clare
Y21;ENNISCORTHY;Wexford
P61;FERMOY;Cork
H91;GALWAY;Galway
A42;GARRISTOWN;Dublin
A96;GLENAGEARY;Dublin
Y25;GOREY;Wexford
A63;GREYSTONES;Wicklow
A82;KELLS;Meath
R51;KILDARE;Kildare
R95;KILKENNY;Kilkenny
V93;KILLARNEY;Kerry
X42;KILMACTHOMAS;Waterford
V35;KILMALLOCK;Limerick
V15;KILRUSH;Clare
P17;KINSALE;Cork
F92;LETTERKENNY;Donegal
F93;LIFFORD;Donegal
V94;LIMERICK;Limerick;Clare
V31;LISTOWEL;Kerry
T45;LITTLE ISLAND;Cork
N39;LONGFORD;Longford
H62;LOUGHREA;Galway
K78;LUCAN;Dublin
K45;LUSK;Dublin
P12;MACROOM;Cork
K36;MALAHIDE;Dublin
P51;MALLOW;Cork
W23;MAYNOOTH;Kildare
P25;MIDLETON;Cork
P67;MITCHELSTOWN;Cork
H18;MONAGHAN;Monaghan
W34;MONASTEREVIN;Kildare
R21;MUINE BHEAG;Carlow
N91;MULLINGAR;Westmeath
W91;NAAS;Kildare
C15;NAVAN;Meath
E45;NENAGH;Tipperary
Y34;NEW ROSS;Wexford
W12;NEWBRIDGE;Kildare
V42;NEWCASTLE WEST;Limerick
A45;OLDTOWN;Dublin
R32;PORTLAOISE;Laois
F42;ROSCOMMON;Roscommon
E53;ROSCREA;Tipperary
K56;RUSH;Dublin
V14;SHANNON;Clare
K34;SKERRIES;Dublin
P81;SKIBBEREEN;Cork
F91;SLIGO;Sligo
K67;SWORDS;Dublin
E41;THURLES;Tipperary
E34;TIPPERARY;Tipperary
V92;TRALEE;Kerry
H54;TUAM;Galway
R35;TULLAMORE;Offaly
X91;WATERFORD;Waterford;Kilkenny
F28;WESTPORT;Mayo
Y35;WEXFORD;Wexford
A67;WICKLOW;Wicklow
P36;YOUGHAL;Cork
