Sales.Id;Sales.date;Sales.price;Sales.property_type;Sales.surface;Sales.longitude;Sales.latitude;Sales.postcodes;Sales.area;Sales.bathrooms;Sales.beds;Sales.ber_id;Sales.parking;Sales.description;Sales.central_heating;Sales.alarm;Sales.gas_heating;Sales.oil_heating;attic.conversion;ensuites;PriceHistory.date0;PriceHistory.price0;PriceHistory.date1;PriceHistory.price1;PriceHistory.date2;PriceHistory.price2;PriceHistory.date3;PriceHistory.price3;PriceHistory.date4;PriceHistory.price4;PriceHistory.date5;PriceHistory.price5;PriceHistory.date6;PriceHistory.price6;PriceHistory.date7;PriceHistory.price7;PriceHistory.date8;PriceHistory.price8;PriceHistory.date9;PriceHistory.price9;PriceHistory.date10;PriceHistory.price10;PriceHistory.date11;PriceHistory.price11;PriceHistory.date12;PriceHistory.price12;PriceHistory.date13;PriceHistory.price13;PriceHistory.date14;PriceHistory.price14;PriceHistory.date15;PriceHistory.price15
253387;"2017-07-04 00:00:00;"360000;"Residential Sale;"139.4;"-6.997854;"52.1492292;";"Dunmore East;"3;"4;"C1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255977;"2017-07-20 00:00:00;"684999;"Residential Sale;"140.0;"-6.1551053;"53.3816695;"Dublin 5;"Raheen;"2;"4;"F;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255980;"2017-07-20 00:00:00;"684999;"Residential Sale;"140.0;"-6.1551053;"53.3816695;"Dublin 5;"Raheen;"2;"4;"F;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255942;"2017-07-20 00:00:00;"684999;"Residential Sale;"140.0;"-6.1551053;"53.3816695;"Dublin 5;"Raheen;"2;"4;"F;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255968;"2017-07-20 00:00:00;"684999;"Residential Sale;"140.0;"-6.1551053;"53.3816695;"Dublin 5;"Raheen;"2;"4;"F;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255652;"2017-07-18 00:00:00;"190000;"Residential Sale;"137.0;"-6.5830247;"52.5043111;"Y21 E8Y8;"Enniscorthy;"3;"4;"D2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254109;"2017-07-14 00:00:00;"470000;"Residential Sale;"246.2;"-7.1500044;"53.1339161;"R32 C9W3;"Killenard;"4;"3;"C1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255292;"2017-07-13 00:00:00;"160000;"Residential Sale;"130.0;"-8.0382894;"54.0464651;";"Drumshanbo;"2;"4;"D2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256315;"2017-07-26 00:00:00;"455000;"Residential Sale;"112.02;"-6.1836121;"53.2437242;"D18 P6W8;"Carrickmines;"2;"4;"C3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256129;"2017-07-21 00:00:00;"141000;"Residential Sale;"67.0;"-8.6317302;"52.6560938;"V94 Y6TD;"Roxboro Road;"2;"3;"F;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
